#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  41100      2.32e+00      3.93e-02      9.05e-02    6.6e-04
  41200      1.30e+00      2.45e-02      5.07e-02    6.6e-04
  41300      1.24e+00      3.34e-02      4.83e-02    6.6e-04
  41400      1.09e+00      4.71e-02      4.25e-02    6.6e-04
  41500      1.70e+00      4.28e-02      6.62e-02    6.6e-04
  41600      1.17e+00      2.00e-02      4.56e-02    6.6e-04
  41700      1.63e+00      3.36e-02      6.33e-02    6.6e-04
  41800      1.57e+00      4.11e-02      6.11e-02    6.6e-04
  41900      1.58e+00      3.17e-02      6.15e-02    6.6e-04
  42000      1.64e+00      2.54e-02      6.37e-02    6.6e-04
  42100      2.08e+00      4.35e-02      8.08e-02    6.6e-04
  42200      1.80e+00      3.69e-02      7.00e-02    6.6e-04
  42300      1.34e+00      2.19e-02      5.22e-02    6.6e-04
  42400      1.39e+00      2.53e-02      5.42e-02    6.6e-04
  42500      2.60e+00      4.81e-02      1.01e-01    6.6e-04
  42600      1.93e+00      5.65e-02      7.52e-02    6.6e-04
  42700      1.54e+00      3.54e-02      5.99e-02    6.6e-04
  42800      2.10e+00      4.29e-02      8.18e-02    6.6e-04
  42900      2.36e+00      4.69e-02      9.19e-02    6.6e-04
  43000      1.69e+00      4.53e-02      6.56e-02    6.6e-04
  43100      1.97e+00      3.27e-02      7.68e-02    6.6e-04
